Fold,Battery_ID,Pre_Violations,OfflinePIMS_Violations,CausalPIMS_Violations,Pre_RMSE,OfflinePIMS_RMSE,CausalPIMS_RMSE
B01,0,4,0,0,2.6676773690430666,2.6627857252340883,3.551458350996607
B02,1,3,0,0,2.5944828941196354,2.5897153324593774,1.62461483570589
B03,2,3,0,0,2.2541645501119443,2.2484906900185186,1.2318899652392095
B04,3,4,0,0,2.8309005280696358,2.826468208730599,1.897836426688586
B05,4,5,0,0,26.28262850205091,26.281212368674943,26.469218158306244
B06,5,4,0,0,7.7168944552423815,7.715273324076626,6.61420127913797
B07,6,4,0,0,2.4947048652162587,2.48952817264492,1.593236065018659
B08,7,4,0,0,6.192666414346656,6.190923656721084,5.241368453184907
B09,8,3,0,0,2.121706312826453,2.1142192475141206,1.145669072318291
B10,9,3,0,0,2.018068189436069,2.0113676230881037,1.0192153326307642
B11,10,3,0,0,2.130072417392115,2.1239993837099185,1.1354801482066883
B12,11,4,0,0,2.0919137919644206,2.085878085878143,1.0731885857691636
B13,12,5,0,0,4.237488918468151,4.234363892093144,5.136695751724779
B14,13,3,0,0,2.3455240655053675,2.307990389986896,3.1072009664198763
